"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)",
"1500000US170310623001","Block Group 1, Census Tract 623, Cook County, Illinois","104583","13465",
"1500000US170310624001","Block Group 1, Census Tract 624, Cook County, Illinois","130833","26889",
"1500000US170310625001","Block Group 1, Census Tract 625, Cook County, Illinois","102444","8561",
"1500000US170310626001","Block Group 1, Census Tract 626, Cook County, Illinois","88482","12366",
"1500000US170310627001","Block Group 1, Census Tract 627, Cook County, Illinois","106056","16441",
"1500000US170310627002","Block Group 2, Census Tract 627, Cook County, Illinois","86728","21972",
"1500000US170310627003","Block Group 3, Census Tract 627, Cook County, Illinois","103750","34652",
"1500000US170310628001","Block Group 1, Census Tract 628, Cook County, Illinois","102266","36263",
"1500000US170310628002","Block Group 2, Census Tract 628, Cook County, Illinois","103929","61870",
"1500000US170310628003","Block Group 3, Census Tract 628, Cook County, Illinois","104500","26900",
"1500000US170310629001","Block Group 1, Census Tract 629, Cook County, Illinois","152132","23237",
"1500000US170310629002","Block Group 2, Census Tract 629, Cook County, Illinois","107835","16031",
"1500000US170310629003","Block Group 3, Census Tract 629, Cook County, Illinois","111029","41914",
"1500000US170310630001","Block Group 1, Census Tract 630, Cook County, Illinois","72375","28530",
"1500000US170310630002","Block Group 2, Census Tract 630, Cook County, Illinois","80952","35379",
"1500000US170310630003","Block Group 3, Census Tract 630, Cook County, Illinois","60114","31938",
"1500000US170310631001","Block Group 1, Census Tract 631, Cook County, Illinois","85625","15573",
"1500000US170310631002","Block Group 2, Census Tract 631, Cook County, Illinois","45625","19085",
"1500000US170310632001","Block Group 1, Census Tract 632, Cook County, Illinois","49388","18999",
"1500000US170310632002","Block Group 2, Census Tract 632, Cook County, Illinois","51378","13230",
"1500000US170310632003","Block Group 3, Census Tract 632, Cook County, Illinois","55529","21579",
"1500000US170310632004","Block Group 4, Census Tract 632, Cook County, Illinois","63047","48742",
"1500000US170310632005","Block Group 5, Census Tract 632, Cook County, Illinois","64038","29789",
"1500000US170310632006","Block Group 6, Census Tract 632, Cook County, Illinois","56528","23866",
"1500000US170310633011","Block Group 1, Census Tract 633.01, Cook County, Illinois","50882","25241",
"1500000US170310633012","Block Group 2, Census Tract 633.01, Cook County, Illinois","51188","14263",
"1500000US170310633013","Block Group 3, Census Tract 633.01, Cook County, Illinois","26023","32267",
"1500000US170310633021","Block Group 1, Census Tract 633.02, Cook County, Illinois","75909","16275",
"1500000US170310633022","Block Group 2, Census Tract 633.02, Cook County, Illinois","66818","8719",
"1500000US170310633023","Block Group 3, Census Tract 633.02, Cook County, Illinois","80048","50256",
"1500000US170310633024","Block Group 4, Census Tract 633.02, Cook County, Illinois","39028","19085",
"1500000US170310633031","Block Group 1, Census Tract 633.03, Cook County, Illinois","60893","39336",
"1500000US170310633032","Block Group 2, Census Tract 633.03, Cook County, Illinois","86076","18759",
"1500000US170310634001","Block Group 1, Census Tract 634, Cook County, Illinois","82132","27753",
"1500000US170310634002","Block Group 2, Census Tract 634, Cook County, Illinois","54659","33639",
"1500000US170310701011","Block Group 1, Census Tract 701.01, Cook County, Illinois","94424","28311",
"1500000US170310701012","Block Group 2, Census Tract 701.01, Cook County, Illinois","99104","55475",
"1500000US170310701013","Block Group 3, Census Tract 701.01, Cook County, Illinois","31705","30512",
"1500000US170310701021","Block Group 1, Census Tract 701.02, Cook County, Illinois","51823","14724",
"1500000US170310701022","Block Group 2, Census Tract 701.02, Cook County, Illinois","56019","68477",
"1500000US170310701023","Block Group 3, Census Tract 701.02, Cook County, Illinois","70156","19701",
"1500000US170310701031","Block Group 1, Census Tract 701.03, Cook County, Illinois","65179","29500",
"1500000US170310701032","Block Group 2, Census Tract 701.03, Cook County, Illinois","43750","16345",
"1500000US170310702001","Block Group 1, Census Tract 702, Cook County, Illinois","117674","24264",
"1500000US170310702002","Block Group 2, Census Tract 702, Cook County, Illinois","103929","49992",
"1500000US170310702003","Block Group 3, Census Tract 702, Cook County, Illinois","64490","16800",
"1500000US170310703001","Block Group 1, Census Tract 703, Cook County, Illinois","103958","13859",
"1500000US170310703002","Block Group 2, Census Tract 703, Cook County, Illinois","76429","24995",
"1500000US170310704001","Block Group 1, Census Tract 704, Cook County, Illinois","31190","26205",
"1500000US170310704002","Block Group 2, Census Tract 704, Cook County, Illinois","129464","43334",
"1500000US170310704003","Block Group 3, Census Tract 704, Cook County, Illinois","140250","62358",
