"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied",
"1500000US170310307062","Block Group 2, Census Tract 307.06, Cook County, Illinois","686","137","258","73","428","121",
"1500000US170310308001","Block Group 1, Census Tract 308, Cook County, Illinois","521","131","103","65","418","134",
"1500000US170310308002","Block Group 2, Census Tract 308, Cook County, Illinois","485","85","296","87","189","80",
"1500000US170310308003","Block Group 3, Census Tract 308, Cook County, Illinois","504","98","259","103","245","100",
"1500000US170310308004","Block Group 4, Census Tract 308, Cook County, Illinois","493","111","256","111","237","83",
"1500000US170310309001","Block Group 1, Census Tract 309, Cook County, Illinois","195","51","70","52","125","37",
"1500000US170310309002","Block Group 2, Census Tract 309, Cook County, Illinois","515","92","201","76","314","89",
"1500000US170310309003","Block Group 3, Census Tract 309, Cook County, Illinois","372","84","193","61","179","68",
"1500000US170310309004","Block Group 4, Census Tract 309, Cook County, Illinois","350","99","170","82","180","75",
"1500000US170310310001","Block Group 1, Census Tract 310, Cook County, Illinois","483","116","150","66","333","120",
"1500000US170310310002","Block Group 2, Census Tract 310, Cook County, Illinois","511","111","175","80","336","94",
"1500000US170310310003","Block Group 3, Census Tract 310, Cook County, Illinois","732","108","350","73","382","99",
"1500000US170310311001","Block Group 1, Census Tract 311, Cook County, Illinois","1015","176","312","129","703","179",
"1500000US170310311002","Block Group 2, Census Tract 311, Cook County, Illinois","514","159","123","92","391","158",
"1500000US170310311003","Block Group 3, Census Tract 311, Cook County, Illinois","706","125","208","83","498","123",
"1500000US170310312001","Block Group 1, Census Tract 312, Cook County, Illinois","706","158","250","75","456","151",
"1500000US170310312002","Block Group 2, Census Tract 312, Cook County, Illinois","485","122","137","70","348","114",
"1500000US170310312003","Block Group 3, Census Tract 312, Cook County, Illinois","722","141","52","40","670","143",
"1500000US170310312004","Block Group 4, Census Tract 312, Cook County, Illinois","783","154","205","77","578","161",
"1500000US170310313001","Block Group 1, Census Tract 313, Cook County, Illinois","531","180","131","63","400","172",
"1500000US170310313002","Block Group 2, Census Tract 313, Cook County, Illinois","785","142","393","97","392","137",
"1500000US170310313003","Block Group 3, Census Tract 313, Cook County, Illinois","209","129","8","17","201","129",
"1500000US170310313004","Block Group 4, Census Tract 313, Cook County, Illinois","1424","218","262","107","1162","222",
"1500000US170310313005","Block Group 5, Census Tract 313, Cook County, Illinois","858","161","362","79","496","172",
"1500000US170310314001","Block Group 1, Census Tract 314, Cook County, Illinois","1030","168","670","134","360","150",
"1500000US170310314002","Block Group 2, Census Tract 314, Cook County, Illinois","467","112","304","97","163","80",
"1500000US170310314003","Block Group 3, Census Tract 314, Cook County, Illinois","521","127","353","128","168","72",
"1500000US170310314004","Block Group 4, Census Tract 314, Cook County, Illinois","0","11","0","11","0","11",
"1500000US170310314005","Block Group 5, Census Tract 314, Cook County, Illinois","712","140","369","116","343","134",
"1500000US170310314006","Block Group 6, Census Tract 314, Cook County, Illinois","446","127","322","132","124","58",
"1500000US170310315011","Block Group 1, Census Tract 315.01, Cook County, Illinois","386","113","7","12","379","111",
"1500000US170310315012","Block Group 2, Census Tract 315.01, Cook County, Illinois","716","115","206","61","510","120",
"1500000US170310315013","Block Group 3, Census Tract 315.01, Cook County, Illinois","433","99","26","34","407","98",
"1500000US170310315021","Block Group 1, Census Tract 315.02, Cook County, Illinois","763","111","154","75","609","101",
"1500000US170310315022","Block Group 2, Census Tract 315.02, Cook County, Illinois","686","151","116","73","570","160",
"1500000US170310315023","Block Group 3, Census Tract 315.02, Cook County, Illinois","818","160","0","11","818","160",
"1500000US170310317001","Block Group 1, Census Tract 317, Cook County, Illinois","939","138","294","95","645","147",
"1500000US170310317002","Block Group 2, Census Tract 317, Cook County, Illinois","991","137","381","110","610","128",
"1500000US170310317003","Block Group 3, Census Tract 317, Cook County, Illinois","1019","144","159","63","860","148",
"1500000US170310317004","Block Group 4, Census Tract 317, Cook County, Illinois","581","113","254","74","327","113",
"1500000US170310318001","Block Group 1, Census Tract 318, Cook County, Illinois","931","61","369","71","562","81",
"1500000US170310319001","Block Group 1, Census Tract 319, Cook County, Illinois","693","92","184","65","509","90",
"1500000US170310319002","Block Group 2, Census Tract 319, Cook County, Illinois","600","94","290","80","310","70",
"1500000US170310321001","Block Group 1, Census Tract 321, Cook County, Illinois","1027","199","318","134","709","179",
"1500000US170310321002","Block Group 2, Census Tract 321, Cook County, Illinois","907","180","266","123","641","163",
"1500000US170310321003","Block Group 3, Census Tract 321, Cook County, Illinois","1020","199","305","125","715","194",
"1500000US170310321004","Block Group 4, Census Tract 321, Cook County, Illinois","692","158","22","36","670","155",
"1500000US170310321005","Block Group 5, Census Tract 321, Cook County, Illinois","578","171","264","101","314","143",
"1500000US170310401001","Block Group 1, Census Tract 401, Cook County, Illinois","511","85","247","71","264","91",
"1500000US170310401002","Block Group 2, Census Tract 401, Cook County, Illinois","783","104","315","84","468","99",
"1500000US170310401003","Block Group 3, Census Tract 401, Cook County, Illinois","369","59","271","49","98","59",
"1500000US170310402011","Block Group 1, Census Tract 402.01, Cook County, Illinois","483","179","185","85","298","167",
"1500000US170310402012","Block Group 2, Census Tract 402.01, Cook County, Illinois","675","162","325","112","350","139",
"1500000US170310402013","Block Group 3, Census Tract 402.01, Cook County, Illinois","610","146","234","90","376","126",
"1500000US170310402014","Block Group 4, Census Tract 402.01, Cook County, Illinois","842","209","344","150","498","155",
"1500000US170310402021","Block Group 1, Census Tract 402.02, Cook County, Illinois","264","83","104","66","160","77",
"1500000US170310402022","Block Group 2, Census Tract 402.02, Cook County, Illinois","996","194","291","102","705","195",
